Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SecondTestSuite,Chrome 58.0.3029.110,,2017-06-22 21:08:33,2017-06-22 21:10:15,1m - 41.832s,FAILED
,,,,,,
Test Cases/PreferenceTestCase,Chrome 58.0.3029.110,,2017-06-22 21:08:34,2017-06-22 21:10:15,1m - 41.381s,FAILED
"Statement - info = [""url"":"""", ""username"":"""", ""password"":""""]",Chrome 58.0.3029.110,,2017-06-22 21:08:34,2017-06-22 21:08:34,0.002s,PASSED
"Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(""Data Files/FirstTestData"")",Chrome 58.0.3029.110,,2017-06-22 21:08:34,2017-06-22 21:08:36,1.365s,PASSED
"Statement - url = data.getValue(1, 1)",Chrome 58.0.3029.110,,2017-06-22 21:08:36,2017-06-22 21:08:36,0.027s,PASSED
"Statement - username = data.getValue(2, 1)",Chrome 58.0.3029.110,,2017-06-22 21:08:36,2017-06-22 21:08:36,0.002s,PASSED
"Statement - password = data.getValue(3, 1)",Chrome 58.0.3029.110,,2017-06-22 21:08:36,2017-06-22 21:08:36,0.002s,PASSED
Statement - url = url,Chrome 58.0.3029.110,,2017-06-22 21:08:36,2017-06-22 21:08:36,0.001s,PASSED
Statement - password = password,Chrome 58.0.3029.110,,2017-06-22 21:08:36,2017-06-22 21:08:36,0.001s,PASSED
Statement - username = username,Chrome 58.0.3029.110,,2017-06-22 21:08:36,2017-06-22 21:08:36,0.001s,PASSED
openBrowser,Chrome 58.0.3029.110,,2017-06-22 21:08:36,2017-06-22 21:09:06,30.411s,PASSED
setText,Chrome 58.0.3029.110,,2017-06-22 21:09:06,2017-06-22 21:09:07,0.435s,PASSED
setText,Chrome 58.0.3029.110,,2017-06-22 21:09:07,2017-06-22 21:09:07,0.287s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:09:07,2017-06-22 21:09:07,0.180s,PASSED
waitForElementVisible,Chrome 58.0.3029.110,,2017-06-22 21:09:07,2017-06-22 21:09:12,5.220s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:09:12,2017-06-22 21:09:12,0.136s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:09:12,2017-06-22 21:09:15,3.008s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:09:15,2017-06-22 21:09:15,0.156s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:09:15,2017-06-22 21:09:18,3.001s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:09:18,2017-06-22 21:09:19,0.774s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:09:19,2017-06-22 21:09:22,3.002s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:09:22,2017-06-22 21:09:22,0.170s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:09:22,2017-06-22 21:09:25,3.001s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:09:25,2017-06-22 21:09:26,0.228s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:09:26,2017-06-22 21:09:29,3.000s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:09:29,2017-06-22 21:09:29,0.135s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:09:29,2017-06-22 21:09:32,3.000s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:09:32,2017-06-22 21:09:32,0.354s,FAILED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:09:32,2017-06-22 21:09:35,3.000s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:09:35,2017-06-22 21:09:35,0.304s,FAILED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:09:35,2017-06-22 21:09:38,3.001s,PASSED
click,Chrome 58.0.3029.110,,2017-06-22 21:09:38,2017-06-22 21:10:11,32.668s,FAILED
Statement - java.lang.Thread.sleep(3000),Chrome 58.0.3029.110,,2017-06-22 21:10:11,2017-06-22 21:10:14,3.001s,PASSED
closeBrowser,Chrome 58.0.3029.110,,2017-06-22 21:10:14,2017-06-22 21:10:15,0.819s,PASSED
